task_id,category,experiment,events,output_mib,events_per_second,elapsed_seconds,validation_seconds,peak_rss_mib,klm_nodes,unique_event_uids
1280,taupair,e1004,5000,24.893596649169922,106.79240032548154,46.81981100491248,3.3060857618693262,444.4765625,7140,5000
1281,uubar,e1004,5000,42.651923179626465,65.68261032950709,76.12364939390682,5.948808494023979,536.37109375,11149,5000
1282,ccbar,e1004,5000,57.610578536987305,22.637378752487393,220.87362917186692,15.637453722767532,622.421875,11862,5000
1283,taupair,e1004,5000,24.894250869750977,106.51093451273233,46.943537045037374,3.3229154360014945,439.4296875,7293,5000
1284,uubar,e1004,5000,42.49957847595215,64.77638860859997,77.1886193009559,5.855079187080264,496.62109375,11123,5000
1285,ccbar,e1004,5000,57.273674964904785,51.598084419481886,96.90282219299115,7.821428464958444,577.5078125,11964,5000
1286,taupair,e1004,5000,25.027653694152832,94.99110586783682,52.63650690577924,3.5443374088499695,467.68359375,7217,5000
1287,uubar,e1004,5000,42.1421537399292,64.04527514096303,78.0697715638671,5.77439801604487,501.7109375,11032,5000
1288,ccbar,e1004,5000,57.32044696807861,58.61903480060521,85.2965255570598,7.0369856611359864,625.953125,12053,5000
1289,taupair,e1004,5000,25.01591396331787,104.96904976355196,47.633088146103546,3.3307189089246094,435.421875,7306,5000
1290,uubar,e1004,5000,42.53504467010498,64.52949999173747,77.48394146305509,5.8364529649261385,510.72265625,11144,5000
1291,ccbar,e1004,5000,57.56663799285889,58.27991952877159,85.7928432370536,6.8905358428601176,604.78515625,12001,5000
1292,taupair,e1004,5000,25.076061248779297,96.01671958741267,52.07426395616494,3.4281419022008777,433.83984375,7273,5000
1293,uubar,e1004,5000,42.49671459197998,73.15226851540379,68.35058025503531,5.348883247002959,508.66796875,10994,5000
1294,ccbar,e1004,5000,57.38263988494873,53.12455632034172,94.11843309993856,6.837225930998102,606.72265625,12008,5000
1295,taupair,e1004,5000,25.053601264953613,89.34504779267276,55.962810738012195,3.2314755560364574,472.140625,7209,5000
1296,uubar,e1004,5000,42.65190315246582,72.41193941107639,69.04938661586493,5.405994639033452,516.24609375,11205,5000
1297,ccbar,e1004,5000,57.50337314605713,52.209302637824436,95.7683735920582,7.632502041989937,624.14453125,11803,5000
1298,taupair,e1004,5000,24.786078453063965,95.70697355078678,52.242797097191215,3.502823085989803,403.0546875,7141,5000
1299,uubar,e1004,5000,42.60586738586426,64.71546972294607,77.26127958903089,5.883408145047724,498.94140625,11041,5000
1300,ccbar,e1004,5000,57.625006675720215,51.94580068876321,96.2541713421233,7.642420390853658,585.5078125,11861,5000
1301,uubar,e1004,5000,42.55570888519287,64.3090686150472,77.74953218386509,5.917848859913647,505.80859375,10956,5000
1302,ccbar,e1004,5000,57.47339344024658,51.72433290042677,96.66630229190923,7.724547720048577,561.5859375,11812,5000
1303,uubar,e1004,5000,42.738823890686035,62.61191941561939,79.85699922102503,5.788776312023401,509.44921875,10938,5000
1304,ccbar,e1004,5000,57.792574882507324,51.81424175536413,96.49856546404772,7.721239679958671,599.87890625,12074,5000
1305,uubar,e1004,5000,42.46816921234131,36.447492209565226,137.18364959792234,11.202706130919978,552.765625,11145,5000
1306,ccbar,e1004,5000,57.639275550842285,32.09922047881512,155.76702254498377,14.158238422125578,597.40625,12107,5000
1307,uubar,e1004,5000,42.45355033874512,64.30229145488039,77.75772662018426,5.89300865214318,503.953125,11004,5000
1308,ccbar,e1004,5000,57.2146053314209,50.864974342545445,98.29946961789392,7.547461444977671,609.0,12018,5000
1309,uubar,e1004,5000,42.58567237854004,65.33264948609902,76.53141330298968,6.024653654778376,487.74609375,11234,5000
1310,ccbar,e1004,5000,57.22855567932129,50.87554499829407,98.2790454661008,7.63159645604901,573.23046875,12093,5000
1311,uubar,e1004,5000,42.3403844833374,65.62103954174468,76.1950745510403,5.77431878587231,512.328125,11013,5000
1312,ccbar,e1004,5000,57.46674346923828,52.08047112789663,96.00527590699494,7.622504333034158,578.15234375,11958,5000
1313,uubar,e1004,5000,42.537113189697266,64.97847293124724,76.94856118410826,5.761639959877357,541.9453125,11125,5000
1314,ccbar,e1004,5000,57.143879890441895,52.48352279084777,95.26799525110982,7.644573154160753,590.97265625,11854,5000
1315,uubar,e1004,5000,42.364540100097656,65.37971496281946,76.47631995403208,5.990342220989987,530.61328125,11006,5000
1316,ccbar,e1004,5000,57.65528392791748,51.76348983813193,96.59317823499441,7.900183063931763,566.00390625,12202,5000
1317,uubar,e1004,5000,42.09018802642822,64.68122602053863,77.30218345602043,5.783184118103236,507.1015625,10923,5000
1318,ccbar,e1004,5000,57.47722625732422,51.6404529935043,96.82331796409562,7.5202672239393,615.6015625,11919,5000
1319,uubar,e1004,5000,42.56064701080322,65.33436509739029,76.52940366906114,5.696197550976649,519.34765625,11096,5000
1320,ccbar,e1004,5000,57.53291702270508,48.91800840799283,102.21184718515724,7.345219328068197,656.2578125,12123,5000
1321,uubar,e1004,5000,42.854939460754395,64.71435770066726,77.26260721194558,5.731920183869079,529.984375,11236,5000
1322,ccbar,e1004,5000,57.716081619262695,52.10462037695531,95.9607797509525,7.850466978969052,630.83203125,11991,5000
1323,uubar,e1004,5000,42.368263244628906,65.58213578084128,76.2402739780955,6.044587353942916,503.56640625,11058,5000
1324,ccbar,e1004,5000,57.36751079559326,51.088565968572674,97.86925714602694,7.681412493111566,598.52734375,12280,5000
1325,uubar,e1004,5000,42.29973888397217,64.64831145406887,77.34154052194208,5.892456148983911,501.41796875,10915,5000
1326,ccbar,e1004,5000,57.30057430267334,51.943403764550865,96.25861298316158,7.747582555981353,592.03515625,11908,5000
1327,uubar,e1004,5000,42.47458362579346,64.6399662796975,77.3515254999511,5.848854429787025,523.1015625,11135,5000
1328,ccbar,e1004,5000,57.60761833190918,52.053591949149826,96.05485064093955,8.057592140045017,625.16015625,11927,5000
1329,uubar,e1004,5000,42.67476844787598,65.17220042564365,76.71982789202593,5.735035971971229,527.00390625,11166,5000
1330,ccbar,e1004,5000,58.00283908843994,35.45647709739448,141.01795805222355,18.60410527489148,583.3828125,12026,5000
1331,uubar,e1004,5000,42.73377704620361,41.19234657457066,121.38177151302807,9.112436855095439,546.41015625,11140,5000
1332,ccbar,e1004,5000,57.35641860961914,36.260800517671456,137.88995081791654,13.188965930836275,653.48046875,11915,5000
1333,uubar,e1004,5000,42.441596031188965,47.88749139840755,104.41139959497377,8.030252618947998,485.70703125,11124,5000
1334,ccbar,e1004,5000,57.49215030670166,57.595092956399505,86.8129513009917,6.97662512306124,631.2890625,12061,5000
1335,uubar,e1004,5000,42.305819511413574,45.177055190326115,110.67565114493482,10.369891287060454,549.6171875,10975,5000
1336,ccbar,e1004,5000,57.56750679016113,33.64236842615302,148.6221165128518,11.737315566977486,709.0859375,11915,5000
1337,uubar,e1004,5000,42.576632499694824,72.3785799895089,69.0812116060406,5.304244596045464,517.4140625,11067,5000
1338,ccbar,e1004,5000,57.47848320007324,32.240209762517715,155.08583960309625,15.099000497953966,558.8671875,12027,5000
1339,uubar,e1004,5000,42.683847427368164,32.17611886052153,155.3947516689077,10.533394833095372,443.73828125,11132,5000
1340,ccbar,e1004,5000,57.46097278594971,29.10087051569387,171.81616602512076,15.82157535199076,587.5546875,12115,5000
1341,uubar,e1004,5000,42.589436531066895,72.982252692832,68.50980636407621,5.26669144211337,549.40234375,11125,5000
1342,ccbar,e1004,5000,57.58401966094971,59.37543134994712,84.2099145441316,6.98126405896619,648.91015625,12110,5000
1343,uubar,e1004,5000,42.73873710632324,73.24731646549962,68.26188645907678,5.197677311021835,571.34765625,11017,5000
1344,ccbar,e1004,5000,57.47094535827637,35.28692213694657,141.69555453420617,15.043484929949045,668.1015625,11903,5000
1345,uubar,e1004,5000,42.63180446624756,65.05947865592502,76.85275233210996,5.82645516609773,524.53125,11063,5000
1346,ccbar,e1004,5000,57.307684898376465,51.9450970389439,96.25547520397231,7.0998645450454205,651.41796875,12009,5000
1347,uubar,e1004,5000,42.59279251098633,64.86547790321107,77.08260482503101,5.870672048069537,536.48046875,11152,5000
1348,ccbar,e1004,5000,57.52254867553711,57.76384177990601,86.55933964799624,6.835715030989377,646.53515625,12116,5000
1349,uubar,e1004,5000,42.32767105102539,35.13866221197198,142.2934080369305,11.94788022316061,512.36328125,10978,5000
1350,ccbar,e1004,5000,57.54960346221924,31.97056524361966,156.39385672099888,14.541953108971938,611.7421875,12203,5000
1351,uubar,e1004,5000,42.60162830352783,36.58463233749154,136.66940681199776,11.311634208017495,515.24609375,10965,5000
1352,ccbar,e1004,5000,57.2114143371582,27.249495794261833,183.48963363398798,15.624698128085583,612.46484375,11903,5000
1353,uubar,e1004,5000,42.399651527404785,41.32704873387333,120.98613748583011,10.199232207145542,532.984375,11048,5000
1354,ccbar,e1004,5000,57.624823570251465,32.72411331808009,152.79252798692323,15.060683198971674,693.80078125,12057,5000
